label,why
como,common word (as)
I,common word (I)
su,common word (his)
que,common word (that)
él,common word (he)
era,common word (was)
para,common word (for)
en,common word (on)
son,common word (are)
con,common word (with)
ellos,common word (they)
ser,common word (be)
en,common word (at)
uno,common word (one)
tener,common word (have)
este,common word (this)
desde,common word (from)
por,common word (by)
caliente,common word (hot)
palabra,common word (word)
pero,common word (but)
qué,common word (what)
algunos,common word (some)
es,common word (is)
lo,common word (it)
usted,common word (you)
o,common word (or)
tenido,common word (had)
la,common word (the)
de,common word (of)
a,common word (to)
y,common word (and)
un,common word (a)
en,common word (in)
nos,common word (we)
lata,common word (can)
fuera,common word (out)
otros,common word (other)
eran,common word (were)
que,common word (which)
hacer,common word (do)
su,common word (their)
tiempo,common word (time)
si,common word (if)
lo hará,common word (will)
cómo,common word (how)
dicho,common word (said)
un,common word (an)
cada,common word (each)
decir,common word (tell)
hace,common word (does)
conjunto,common word (set)
tres,common word (three)
querer,common word (want)
aire,common word (air)
así,common word (well)
también,common word (also)
jugar,common word (play)
pequeño,common word (small)
fin,common word (end)
poner,common word (put)
casa,common word (home)
leer,common word (read)
mano,common word (hand)
puerto,common word (port)
grande,common word (large)
deletrear,common word (spell)
añadir,common word (add)
incluso,common word (even)
tierra,common word (land)
aquí,common word (here)
debe,common word (must)
grande,common word (big)
alto,common word (high)
tal,common word (such)
siga,common word (follow)
acto,common word (act)
por qué,common word (why)
preguntar,common word (ask)
hombres,common word (men)
cambio,common word (change)
se fue,common word (went)
luz,common word (light)
tipo,common word (kind)
fuera,common word (off)
necesitará,common word (need)
casa,common word (house)
imagen,common word (picture)
tratar,common word (try)
nosotros,common word (us)
de nuevo,common word (again)
animal,common word (animal)
punto,common word (point)
madre,common word (mother)
mundo,common word (world)
cerca,common word (near)
construir,common word (build)
auto,common word (self)
tierra,common word (earth)
padre,common word (father)
cualquier,common word (any)
nuevo,common word (new)
trabajo,common word (work)
parte,common word (part)
tomar,common word (take)
conseguir,common word (get)
lugar,common word (place)
hecho,common word (made)
vivir,common word (live)
donde,common word (where)
después,common word (after)
espalda,common word (back)
poco,common word (little)
sólo,common word (only)
ronda,common word (round)
hombre,common word (man)
años,common word (year)
vino,common word (came)
show,common word (show)
cada,common word (every)
buena,common word (good)
me,common word (me)
dar,common word (give)
nuestro,common word (our)
bajo,common word (under)
nombre,common word (name)
muy,common word (very)
a través de,common word (through)
sólo,common word (just)
forma,common word (form)
frase,common word (sentence)
gran,common word (great)
pensar,common word (think)
decir,common word (say)
ayudar,common word (help)
bajo,common word (low)
línea,common word (line)
ser distinto,common word (differ)
a su vez,common word (turn)
causa,common word (cause)
mucho,common word (much)
significará,common word (mean)
antes,common word (before)
movimiento,common word (move)
derecho,common word (right)
niño,common word (boy)
viejo,common word (old)
demasiado,common word (too)
misma,common word (same)
ella,common word (she)
todo,common word (all)
hay,common word (there)
cuando,common word (when)
hasta,common word (up)
uso,common word (use)
su,common word (your)
camino,common word (way)
acerca,common word (about)
muchos,common word (many)
entonces,common word (then)
ellos,common word (them)
escribir,common word (write)
haría,common word (would)
como,common word (like)
así,common word (so)
éstos,common word (these)
su,common word (her)
largo,common word (long)
hacer,common word (make)
cosa,common word (thing)
ver,common word (see)
él,common word (him)
dos,common word (two)
tiene,common word (has)
buscar,common word (look)
más,common word (more)
día,common word (day)
podía,common word (could)
ir,common word (go)
venir,common word (come)
hizo,common word (did)
número,common word (number)
sonar,common word (sound)
no,common word (no)
más,common word (most)
personas,common word (people)
mi,common word (my)
sobre,common word (over)
saber,common word (know)
agua,common word (water)
que,common word (than)
llamada,common word (call)
primero,common word (first)
que,common word (who)
puede,common word (may)
abajo,common word (down)
lado,common word (side)
estado,common word (been)
ahora,common word (now)
encontrar,common word (find)
cabeza,common word (head)
de pie,common word (stand)
propio,common word (own)
página,common word (page)
debería,common word (should)
país,common word (country)
encontrado,common word (found)
respuesta,common word (answer)
escuela,common word (school)
crecer,common word (grow)
estudio,common word (study)
todavía,common word (still)
aprender,common word (learn)
planta,common word (plant)
cubierta,common word (cover)
alimentos,common word (food)
sol,common word (sun)
cuatro,common word (four)
entre,common word (between)
estado,common word (state)
mantener,common word (keep)
ojo,common word (eye)
nunca,common word (never)
último,common word (last)
dejar,common word (let)
pensado,common word (thought)
ciudad,common word (city)
árbol,common word (tree)
cruzar,common word (cross)
granja,common word (farm)
duro,common word (hard)
inicio,common word (start)
podría,common word (might)
historia,common word (story)
sierra,common word (saw)
ahora,common word (far)
mar,common word (sea)
dibujar,common word (draw)
izquierda,common word (left)
tarde,common word (late)
ejecutar,common word (run)
no,common word (don’t)
mientras,common word (while)
prensa,common word (press)
Cerrar,common word (close)
noche,common word (night)
reales,common word (real)
vida,common word (life)
pocos,common word (few)
norte,common word (north)
libro,common word (book)
llevar,common word (carry)
tomó,common word (took)
ciencia,common word (science)
comer,common word (eat)
habitación,common word (room)
amigo,common word (friend)
comenzó,common word (began)
gusta,common word (idea)
peces,common word (fish)
montaña,common word (mountain)
Deténgase,common word (stop)
una vez,common word (once)
base de,common word (base)
escuchar,common word (hear)
caballo,common word (horse)
cortada,common word (cut)
seguro,common word (sure)
ver,common word (watch)
colores,common word (color)
cara,common word (face)
madera,common word (wood)
principal,common word (main)
abierta,common word (open)
parecer,common word (seem)
juntos,common word (together)
próximo,common word (next)
blanco,common word (white)
niños,common word (children)
comenzar,common word (begin)
conseguido,common word (got)
caminar,common word (walk)
ejemplo,common word (example)
aliviar,common word (ease)
papel,common word (paper)
grupo,common word (group)
siempre,common word (always)
música,common word (music)
los,common word (those)
ambos,common word (both)
marca,common word (mark)
menudo,common word (often)
carta,common word (letter)
hasta,common word (until)
milla,common word (mile)
río,common word (river)
coche,common word (car)
pies,common word (feet)
cuidado,common word (care)
segundo,common word (second)
suficiente,common word (enough)
llano,common word (plain)
chica,common word (girl)
habitual,common word (usual)
joven,common word (young)
listo,common word (ready)
por encima de,common word (above)
nunca,common word (ever)
rojo,common word (red)
lista,common word (list)
aunque,common word (though)
sentir,common word (feel)
charla,common word (talk)
pájaro,common word (bird)
pronto,common word (soon)
cuerpo,common word (body)
perro,common word (dog)
familia,common word (family)
directa,common word (direct)
plantear,common word (pose)
dejar,common word (leave)
canción,common word (song)
medir,common word (measure)
puerta,common word (door)
producto,common word (product)
negro,common word (black)
corto,common word (short)
numeral,common word (numeral)
clase,common word (class)
viento,common word (wind)
pregunta,common word (question)
suceder,common word (happen)
completo,common word (complete)
buque,common word (ship)
zona,common word (area)
medio,common word (half)
roca,common word (rock)
orden,common word (order)
fuego,common word (fire)
sur,common word (south)
problema,common word (problem)
pieza,common word (piece)
dicho,common word (told)
sabía,common word (knew)
pasar,common word (pass)
desde,common word (since)
cima,common word (top)
todo,common word (whole)
rey,common word (king)
calle,common word (street)
pulgadas,common word (inch)
multiplicar,common word (multiply)
nada,common word (nothing)
curso,common word (course)
quedarse,common word (stay)
rueda,common word (wheel)
completo,common word (full)
fuerza,common word (force)
azul,common word (blue)
objeto,common word (object)
decidir,common word (decide)
superficie,common word (surface)
profunda,common word (deep)
luna,common word (moon)
isla,common word (island)
pie,common word (foot)
sistema,common word (system)
ocupado,common word (busy)
prueba,common word (test)
registro,common word (record)
barco,common word (boat)
común,common word (common)
oro,common word (gold)
posible,common word (possible)
plano,common word (plane)
lugar,common word (stead)
seco,common word (dry)
maravilla,common word (wonder)
risa,common word (laugh)
mil,common word (thousand)
hace,common word (ago)
corrió,common word (ran)
comprobar,common word (check)
juego,common word (game)
forma,common word (shape)
equiparar,common word (equate)
caliente,common word (hot)
señorita,common word (miss)
traído,common word (brought)
calor,common word (heat)
nieve,common word (snow)
neumáticos,common word (tire)
traer,common word (bring)
sí,common word (yes)
distante,common word (distant)
llenar,common word (fill)
al este,common word (east)
pintar,common word (paint)
idioma,common word (language)
entre,common word (among)
unidad,common word (unit)
potencia,common word (power)
ciudad,common word (town)
fina,common word (fine)
cierto,common word (certain)
volar,common word (fly)
caer,common word (fall)
conducir,common word (lead)
grito,common word (cry)
oscuro,common word (dark)
máquina,common word (machine)
nota,common word (note)
espere,common word (wait)
plan de,common word (plan)
figura,common word (figure)
estrella,common word (star)
caja,common word (box)
sustantivo,common word (noun)
campo,common word (field)
resto,common word (rest)
correcta,common word (correct)
capaz,common word (able)
libra,common word (pound)
hecho,common word (done)
belleza,common word (beauty)
unidad,common word (drive)
destacado,common word (stood)
contener,common word (contain)
delante,common word (front)
enseñar,common word (teach)
semana,common word (week)
último,common word (final)
dio,common word (gave)
verde,common word (green)
oh,common word (oh)
rápido,common word (quick)
desarrollar,common word (develop)
océano,common word (ocean)
caliente,common word (warm)
libre,common word (free)
minuto,common word (minute)
fuerte,common word (strong)
especial,common word (special)
mente,common word (mind)
detrás,common word (behind)
claro,common word (clear)
cola,common word (tail)
Produce,common word (produce)
hecho,common word (fact)
espacio,common word (space)
oído,common word (heard)
mejor,common word (best)
horas,common word (hour)
mejor,common word (better)
verdadero,common word (TRUE)
durante,common word (during)
cien,common word (hundred)
cinco,common word (five)
recordar,common word (remember)
paso,common word (step)
temprana,common word (early)
mantenga,common word (hold)
oeste,common word (west)
suelo,common word (ground)
interés,common word (interest)
llegar,common word (reach)
rápido,common word (fast)
verbo,common word (verb)
cantar,common word (sing)
escuchar,common word (listen)
seis,common word (six)
mesa,common word (table)
viajes,common word (travel)
menos,common word (less)
mañana,common word (morning)
diez,common word (ten)
sencilla,common word (simple)
varios,common word (several)
vocal,common word (vowel)
hacia,common word (toward)
guerra,common word (war)
sentar,common word (lay)
contra,common word (against)
patrón,common word (pattern)
lenta,common word (slow)
centro,common word (center)
amar,common word (love)
persona,common word (person)
dinero,common word (money)
servir,common word (serve)
aparecerá,common word (appear)
carretera,common word (road)
mapa,common word (map)
lluvia,common word (rain)
regla,common word (rule)
gobernar,common word (govern)
Halar,common word (pull)
frío,common word (cold)
aviso,common word (notice)
voz,common word (voice)
energía,common word (energy)
caza,common word (hunt)
