label,why
wie,common word (as)
ich,common word (I)
seine,common word (his)
dass,common word (that)
er,common word (he)
war,common word (was)
für,common word (for)
auf,common word (on)
sind,common word (are)
mit,common word (with)
sie,common word (they)
sein,common word (be)
bei,common word (at)
ein,common word (one)
haben,common word (have)
dies,common word (this)
aus,common word (from)
durch,common word (by)
heiß,common word (hot)
Wort,common word (word)
aber,common word (but)
was,common word (what)
einige,common word (some)
ist,common word (is)
es,common word (it)
Sie,common word (you)
oder,common word (or)
hatte,common word (had)
die,common word (the)
von,common word (of)
zu,common word (to)
und,common word (and)
ein,common word (a)
bei,common word (in)
wir,common word (we)
können,common word (can)
aus,common word (out)
andere,common word (other)
waren,common word (were)
die,common word (which)
tun,common word (do)
ihre,common word (their)
Zeit,common word (time)
wenn,common word (if)
werden,common word (will)
wie,common word (how)
sagte,common word (said)
ein,common word (an)
jeder,common word (each)
sagen,common word (tell)
tut,common word (does)
Satz,common word (set)
drei,common word (three)
wollen,common word (want)
Luft,common word (air)
gut,common word (well)
auch,common word (also)
spielen,common word (play)
klein,common word (small)
Ende,common word (end)
setzen,common word (put)
Zuhause,common word (home)
lesen,common word (read)
seits,common word (hand)
Hafen,common word (port)
groß,common word (large)
buchstabieren,common word (spell)
hinzufügen,common word (add)
auch,common word (even)
Lande,common word (land)
hier,common word (here)
muss,common word (must)
groß,common word (big)
hoch,common word (high)
so,common word (such)
folgen,common word (follow)
Akt,common word (act)
warum,common word (why)
fragen,common word (ask)
Männer,common word (men)
Veränderung,common word (change)
ging,common word (went)
Licht,common word (light)
Art,common word (kind)
aus,common word (off)
müssen,common word (need)
Haus,common word (house)
Bild,common word (picture)
versuchen,common word (try)
uns,common word (us)
wieder,common word (again)
Tier,common word (animal)
Punkt,common word (point)
Mutter,common word (mother)
Welt,common word (world)
in der Nähe von,common word (near)
bauen,common word (build)
selbst,common word (self)
Erde,common word (earth)
Vater,common word (father)
jeder,common word (any)
neu,common word (new)
Arbeit,common word (work)
Teil,common word (part)
nehmen,common word (take)
erhalten,common word (get)
Ort,common word (place)
gemacht,common word (made)
leben,common word (live)
wo,common word (where)
nach,common word (after)
zurück,common word (back)
wenig,common word (little)
nur,common word (only)
Runde,common word (round)
Mann,common word (man)
Jahr,common word (year)
kam,common word (came)
zeigen,common word (show)
jeder,common word (every)
gut,common word (good)
mir,common word (me)
geben,common word (give)
unsere,common word (our)
unter,common word (under)
Name,common word (name)
sehr,common word (very)
durch,common word (through)
nur,common word (just)
Formular,common word (form)
Satz,common word (sentence)
groß,common word (great)
denken,common word (think)
sagen,common word (say)
Hilfe,common word (help)
niedrig,common word (low)
Linie,common word (line)
abweichen,common word (differ)
wiederum,common word (turn)
Ursache,common word (cause)
viel,common word (much)
bedeuten,common word (mean)
vor,common word (before)
Umzug,common word (move)
Recht,common word (right)
Junge,common word (boy)
alt,common word (old)
zu,common word (too)
gleich,common word (same)
sie,common word (she)
alle,common word (all)
da,common word (there)
wenn,common word (when)
nach oben,common word (up)
Verwendung,common word (use)
Ihre,common word (your)
Weg,common word (way)
über,common word (about)
viele,common word (many)
dann,common word (then)
sie,common word (them)
schreiben,common word (write)
würde,common word (would)
wie,common word (like)
so,common word (so)
diese,common word (these)
sie,common word (her)
lange,common word (long)
machen,common word (make)
Sache,common word (thing)
sehen,common word (see)
ihm,common word (him)
zwei,common word (two)
hat,common word (has)
suchen,common word (look)
mehr,common word (more)
Tag,common word (day)
könnte,common word (could)
gehen,common word (go)
kommen,common word (come)
tat,common word (did)
Anzahl,common word (number)
