label,why
как,common word (as)
Я,common word (I)
его,common word (his)
что,common word (that)
он,common word (he)
было,common word (was)
для,common word (for)
на,common word (on)
являются,common word (are)
с,common word (with)
они,common word (they)
быть,common word (be)
в,common word (at)
один,common word (one)
иметь,common word (have)
это,common word (this)
от,common word (from)
по,common word (by)
горячий,common word (hot)
слово,common word (word)
но,common word (but)
что,common word (what)
некоторые,common word (some)
является,common word (is)
это,common word (it)
вы,common word (you)
или,common word (or)
было,common word (had)
площадь,common word (the)
из,common word (of)
гора,common word (to)
и,common word (and)
основной,common word (a)
взял,common word (in)
мы,common word (we)
может,common word (can)
из,common word (out)
другой,common word (other)
были,common word (were)
который,common word (which)
сделать,common word (do)
их,common word (their)
время,common word (time)
если,common word (if)
будет,common word (will)
как,common word (how)
указанный,common word (said)
назад,common word (an)
каждый,common word (each)
сказать,common word (tell)
делает,common word (does)
набор,common word (set)
три,common word (three)
хочу,common word (want)
воздух,common word (air)
хорошо,common word (well)
также,common word (also)
играть,common word (play)
небольшой,common word (small)
конец,common word (end)
положить,common word (put)
домой,common word (home)
читать,common word (read)
рука,common word (hand)
порт,common word (port)
большой,common word (large)
заклинание,common word (spell)
добавлять,common word (add)
даже,common word (even)
земля,common word (land)
здесь,common word (here)
должны,common word (must)
большой,common word (big)
высокий,common word (high)
такие,common word (such)
следовать,common word (follow)
акт,common word (act)
почему,common word (why)
спросите,common word (ask)
люди,common word (men)
изменение,common word (change)
пошел,common word (went)
свет,common word (light)
вид,common word (kind)
от,common word (off)
нуждаться,common word (need)
дом,common word (house)
картинка,common word (picture)
пытаться,common word (try)
нам,common word (us)
снова,common word (again)
животных,common word (animal)
точка,common word (point)
мать,common word (mother)
мир,common word (world)
около,common word (near)
строить,common word (build)
самостоятельно,common word (self)
земля,common word (earth)
отец,common word (father)
любой,common word (any)
новый,common word (new)
работа,common word (work)
часть,common word (part)
принимать,common word (take)
получать,common word (get)
место,common word (place)
сделал,common word (made)
жить,common word (live)
где,common word (where)
после,common word (after)
назад,common word (back)
немного,common word (little)
только,common word (only)
круглый,common word (round)
человек,common word (man)
год,common word (year)
пришел,common word (came)
шоу,common word (show)
каждый,common word (every)
хорошее,common word (good)
меня,common word (me)
давать,common word (give)
наш,common word (our)
под,common word (under)
название,common word (name)
очень,common word (very)
через,common word (through)
просто,common word (just)
форма,common word (form)
приговор,common word (sentence)
большой,common word (great)
думать,common word (think)
сказать,common word (say)
помощь,common word (help)
низкий,common word (low)
линия,common word (line)
отличаются,common word (differ)
поворот,common word (turn)
причиной,common word (cause)
много,common word (much)
означать,common word (mean)
до,common word (before)
движение,common word (move)
право,common word (right)
мальчик,common word (boy)
старый,common word (old)
слишком,common word (too)
же,common word (same)
она,common word (she)
все,common word (all)
там,common word (there)
когда,common word (when)
вверх,common word (up)
использование,common word (use)
ваш,common word (your)
способ,common word (way)
о,common word (about)
многие,common word (many)
затем,common word (then)
их,common word (them)
запись,common word (write)
бы,common word (would)
подобно,common word (like)
так,common word (so)
эти,common word (these)
ее,common word (her)
долго,common word (long)
сделать,common word (make)
вещь,common word (thing)
посмотреть,common word (see)
его,common word (him)
два,common word (two)
имеет,common word (has)
искать,common word (look)
еще,common word (more)
день,common word (day)
мог,common word (could)
идти,common word (go)
приходят,common word (come)
сделал,common word (did)
число,common word (number)
звук,common word (sound)
нет,common word (no)
наиболее,common word (most)
люди,common word (people)
мой,common word (my)
над,common word (over)
знать,common word (know)
вода,common word (water)
чем,common word (than)
вызов,common word (call)
первый,common word (first)
кто,common word (who)
может,common word (may)
вниз,common word (down)
сторона,common word (side)
был,common word (been)
сейчас,common word (now)
находить,common word (find)
руководитель,common word (head)
стоять,common word (stand)
самостоятельно,common word (own)
страница,common word (page)
должны,common word (should)
страна,common word (country)
найдено,common word (found)
ответ,common word (answer)
школа,common word (school)
расти,common word (grow)
исследование,common word (study)
еще,common word (still)
учиться,common word (learn)
завод,common word (plant)
крышка,common word (cover)
еда,common word (food)
солнце,common word (sun)
четыре,common word (four)
между,common word (between)
состояние,common word (state)
держать,common word (keep)
глаз,common word (eye)
никогда не,common word (never)
Последнее,common word (last)
позволять,common word (let)
мысль,common word (thought)
город,common word (city)
дерево,common word (tree)
пересекают,common word (cross)
ферма,common word (farm)
трудно,common word (hard)
начало,common word (start)
мощи,common word (might)
история,common word (story)
пила,common word (saw)
далеко,common word (far)
море,common word (sea)
привлечь,common word (draw)
слева,common word (left)
поздно,common word (late)
запустить,common word (run)
не,common word (don’t)
в то время как,common word (while)
нажмите,common word (press)
близко,common word (close)
ночь,common word (night)
реальный,common word (real)
жизнь,common word (life)
несколько,common word (few)
к северу,common word (north)
книга,common word (book)
нести,common word (carry)
взял,common word (took)
наука,common word (science)
есть,common word (eat)
номер,common word (room)
друг,common word (friend)
начал,common word (began)
идея,common word (idea)
рыба,common word (fish)
гора,common word (mountain)
остановить,common word (stop)
раз,common word (once)
база,common word (base)
слышать,common word (hear)
лошадь,common word (horse)
вырезать,common word (cut)
уверен,common word (sure)
смотреть,common word (watch)
цвет,common word (color)
лицо,common word (face)
дерево,common word (wood)
основной,common word (main)
открыт,common word (open)
кажется,common word (seem)
вместе,common word (together)
следующий,common word (next)
белый,common word (white)
дети,common word (children)
начать,common word (begin)
получил,common word (got)
ходить,common word (walk)
пример,common word (example)
легкость,common word (ease)
бумага,common word (paper)
группа,common word (group)
всегда,common word (always)
музыка,common word (music)
тех,common word (those)
как,common word (both)
знак,common word (mark)
часто,common word (often)
письмо,common word (letter)
до,common word (until)
км,common word (mile)
река,common word (river)
автомобиль,common word (car)
футов,common word (feet)
уход,common word (care)
Второй,common word (second)
достаточно,common word (enough)
равнина,common word (plain)
девушка,common word (girl)
обычно,common word (usual)
молодой,common word (young)
готовый,common word (ready)
выше,common word (above)
когда-либо,common word (ever)
красный,common word (red)
список,common word (list)
хотя,common word (though)
чувствовать,common word (feel)
разговор,common word (talk)
птица,common word (bird)
скоро,common word (soon)
тело,common word (body)
собака,common word (dog)
семья,common word (family)
прямой,common word (direct)
представляют,common word (pose)
оставить,common word (leave)
песня,common word (song)
измерять,common word (measure)
дверь,common word (door)
продукт,common word (product)
черный,common word (black)
короткая,common word (short)
цифра,common word (numeral)
класс,common word (class)
