label,why
acaba,common word (wonder)
acele,common word (hurry)
açık,common word (clear)
açık,common word (open)
açtı,common word (led)
ada,common word (island)
adam,common word (man)
adı,common word (name)
adil,common word (fair)
adım,common word (step)
ağaç,common word (tree)
ağır,common word (heavy)
ağırlık,common word (weight)
ağız,common word (mouth)
ağlamak,common word (cry)
ahşap,common word (wood)
aile,common word (family)
akım,common word (current)
akış,common word (flow)
akışı,common word (stream)
akor,common word (chord)
akşam,common word (evening)
alan,common word (area)
alan,common word (field)
aldı,common word (took)
almak,common word (receive)
almak,common word (take)
alt,common word (bottom)
altı,common word (six)
altın,common word (gold)
altında,common word (under)
an,common word (moment)
ana,common word (main)
anahtar,common word (key)
ancak,common word (but)
ani,common word (sudden)
anlaşma,common word (deal)
anlık,common word (instant)
anne,common word (mother)
araba,common word (car)
aracı,common word (tool)
aralığı,common word (range)
arama,common word (search)
arasında,common word (among)
arasında,common word (between)
arasında,common word (of)
arazi,common word (land)
arkadaşı,common word (friend)
arkasında,common word (behind)
aşağı,common word (down)
asansör,common word (lift)
aşçı,common word (cook)
aşk,common word (love)
asker,common word (soldier)
asla,common word (never)
at,common word (at)
at,common word (horse)
atlama,common word (jump)
atmak,common word (throw)
atomudur,common word (atom)
avı,common word (hunt)
ay,common word (month)
ay,common word (moon)
ayak,common word (foot)
ayakkabı,common word (shoe)
ayaklar,common word (feet)
ayı,common word (bear)
aynı,common word (same)
ayrı,common word (separate)
ayrıca,common word (also)
az,common word (few)
baba,common word (dad)
baba,common word (father)
bacak,common word (leg)
bağırmak,common word (shout)
bağlamak,common word (connect)
bağlı,common word (depend)
bahar,common word (spring)
bahçe,common word (garden)
bak,common word (look)
bakım,common word (care)
balık,common word (fish)
bana,common word (me)
banka,common word (bank)
bant,common word (band)
bar,common word (bar)
baş,common word (chief)
başarı,common word (success)
basın,common word (press)
basit,common word (simple)
başka,common word (else)
başkasının yeri,common word (stead)
baskı,common word (print)
başla,common word (begin)
başladı,common word (began)
başlangıç,common word (start)
batı,common word (west)
bayan,common word (lady)
baz,common word (base)
bazı,common word (some)
bebek,common word (baby)
beceri,common word (skill)
bekleyin,common word (wait)
bekliyoruz,common word (expect)
belirlemek,common word (determine)
belirli,common word (certain)
belki,common word (perhaps)
ben,common word (I)
benim,common word (my)
benzer,common word (similar)
beri,common word (since)
beş,common word (five)
besleme,common word (supply)
beslemek,common word (feed)
beyaz,common word (white)
bilim,common word (science)
biliyordu,common word (knew)
bilmek,common word (know)
bin,common word (thousand)
binmek,common word (ride)
bir kez,common word (once)
bir,common word (a)
bir,common word (an)
bir,common word (one)
bırakın,common word (drop)
bırakın,common word (leave)
birçok,common word (many)
birkaç,common word (several)
birlikte,common word (together)
bit,common word (bit)
bitirmek,common word (finish)
bitki,common word (plant)
bitti,common word (done)
biz,common word (we)
bizi,common word (us)
bizim,common word (our)
bloğu,common word (block)
böcek,common word (insect)
bölge,common word (region)
bölmek,common word (divide)
bölüm,common word (part)
bölüm,common word (quotient)
bölüm,common word (section)
bölünme,common word (division)
boya,common word (paint)
böyle,common word (such)
böylece,common word (thus)
boyun,common word (neck)
boyut,common word (size)
bu yüzden,common word (so)
bu,common word (that)
bu,common word (these)
Bu,common word (this)
bu,common word (those)
buhar,common word (steam)
bulmak,common word (find)
bulundu,common word (found)
bulut,common word (cloud)
burada,common word (here)
burun,common word (nose)
bütün,common word (whole)
büyü,common word (spell)
büyüdü,common word (grew)
büyük,common word (big)
büyük,common word (grand)
büyük,common word (great)
büyük,common word (huge)
büyük,common word (large)
büyük,common word (major)
büyümek,common word (grow)
buz,common word (ice)
çağdaş,common word (modern)
çağrı,common word (call)
çalışma,common word (study)
cam,common word (glass)
çan,common word (bell)
can,common word (can)
canlı,common word (live)
çapraz,common word (cross)
çarpmak,common word (multiply)
catch,common word (catch)
Çek,common word (pull)
ceket,common word (coat)
çelik,common word (steel)
cevap,common word (answer)
cevap,common word (reply)
çiçek,common word (flower)
çift,common word (double)
çifti,common word (pair)
çiftlik,common word (farm)
çıkarmak,common word (subtract)
cilt,common word (skin)
çim,common word (grass)
civciv,common word (chick)
çizmek,common word (draw)
çocuk,common word (boy)
çocuk,common word (child)
çocuk,common word (children)
çoğul,common word (plural)
çok,common word (lot)
çok,common word (much)
çok,common word (too)
çok,common word (very)
çöl,common word (desert)
çözmek,common word (solve)
çözüm,common word (solution)
Cts,common word (sat)
cümle,common word (sentence)
dağ,common word (mount)
dağ,common word (mountain)
daha az,common word (less)
daha fazla,common word (more)
daha iyi,common word (better)
daha,common word (than)
dahil,common word (include)
daire,common word (circle)
dakika,common word (minute)
dalga,common word (wave)
dan,common word (from)
dans,common word (dance)
darbe,common word (blow)
dava,common word (case)
dedi,common word (said)
değeri,common word (value)
değişim,common word (change)
değiştirmek,common word (vary)
delik,common word (hole)
demek,common word (meant)
demek,common word (say)
demir,common word (iron)
demiryolu,common word (rail)
deneme,common word (experiment)
denemek,common word (try)
deneyim,common word (experience)
deniz,common word (sea)
derecesi,common word (degree)
derin,common word (deep)
ders,common word (course)
desen,common word (pattern)
destek,common word (support)
devam etmek,common word (continue)
devlet,common word (state)
diğer,common word (other)
dil,common word (language)
dilek,common word (wish)
dinle,common word (listen)
dişler,common word (teeth)
diye,common word (he)
diye,common word (she)
dizayn,common word (design)
dize,common word (string)
do,common word (do)
doğa,common word (nature)
doğal,common word (natural)
doğmuş,common word (born)
doğru,common word (correct)
doğru,common word (toward)
doğrudan,common word (direct)
doğu,common word (east)
doktor,common word (doctor)
dokunma,common word (touch)
dokuz,common word (nine)
dolar,common word (dollar)
doldurmak,common word (populate)
doldurun,common word (fill)
dönemi,common word (period)
dönüş,common word (turn)
dört,common word (four)
dükkan,common word (shop)
dünya,common word (world)
dur,common word (stop)
durdu,common word (stood)
durumu,common word (condition)
düşman,common word (enemy)
düşmek,common word (fall)
düştü,common word (fell)
düşük,common word (low)
düşünce,common word (thought)
düşünmek,common word (consider)
düşünmek,common word (think)
duvar,common word (wall)
duydum,common word (heard)
duymak,common word (hear)
duyuyorum,common word (am)
düz,common word (flat)
düz,common word (plain)
düz,common word (straight)
düzenlemek,common word (arrange)
düzlem,common word (plane)
ebeveyn,common word (parent)
eğer,common word (if)
eğlenceli,common word (fun)
egzersiz,common word (exercise)
ekleyin,common word (add)
ekmek,common word (bread)
el,common word (hand)
elbise,common word (dress)
elektrik,common word (electric)
eleman,common word (element)
elma,common word (apple)
emin,common word (sure)
en az,common word (least)
en iyi,common word (best)
en,common word (most)
enerji,common word (energy)
enstrüman,common word (instrument)
erkekler,common word (men)
erken,common word (early)
eşit,common word (equal)
eşit,common word (equate)
eski,common word (old)
et,common word (meat)
etkisi,common word (effect)
ev,common word (home)
ev,common word (house)
evet,common word (yes)
faiz,common word (interest)
farklı,common word (differ)
fiil,common word (verb)
fikir,common word (idea)
formu,common word (form)
garip,common word (strange)
gaz,common word (gas)
geç,common word (late)
gece,common word (night)
geçmek,common word (pass)
geçmiş,common word (past)
geçmişi,common word (history)
gel,common word (come)
geldi,common word (came)
geliştirmek,common word (develop)
gemi,common word (ship)
genç,common word (young)
genel,common word (general)
geniş,common word (broad)
geniş,common word (wide)
gerçek,common word (fact)
gerçek,common word (real)
gerçek,common word (TRUE)
gerek,common word (need)
gerekir,common word (must)
gerekir,common word (should)
gerekli,common word (necessary)
gerektirir,common word (require)
geri,common word (back)
gerisi,common word (rest)
getirdi,common word (brought)
getirmek,common word (bring)
gezegen,common word (planet)
gezi,common word (trip)
gibi,common word (like)
gıda,common word (food)
girin,common word (enter)
gitmek,common word (go)
gitti,common word (gone)
gitti,common word (went)
giydirmek,common word (clothe)
giymek,common word (wear)
gökyüzü,common word (sky)
göl,common word (lake)
gönderildi,common word (sent)
göndermek,common word (send)
görmek,common word (see)
görünmek,common word (seem)
görünüm,common word (view)
görünür,common word (appear)
görüş,common word (sight)
gösterisi,common word (show)
göstermektedir,common word (indicate)
göz,common word (eye)
gözlemlemek,common word (observe)
grafiği,common word (chart)
gri,common word (gray)
grup,common word (group)
güç,common word (power)
güçlü,common word (strong)
gül,common word (rose)
gülmek,common word (laugh)
gülümseme,common word (smile)
gümüş,common word (silver)
gün,common word (day)
gun,common word (gun)
güneş,common word (sun)
güney,common word (south)
gürültü,common word (noise)
güvenli,common word (safe)
güzel,common word (pretty)
güzellik,common word (beauty)
haber,common word (notice)
hafta,common word (week)
hakkında,common word (about)
hala,common word (still)
halat,common word (rope)
halka,common word (ring)
hangi,common word (which)
harcamak,common word (spend)
hareket,common word (act)
hareket,common word (motion)
hareket,common word (move)
hariç,common word (except)
harita,common word (map)
hat,common word (line)
hatırlıyorum,common word (remember)
hatta,common word (even)
hava,common word (air)
hava,common word (weather)
hayal,common word (imagine)
hayat,common word (life)
hayır,common word (no)
hayvan,common word (animal)
hazır,common word (ready)
hazırlamak,common word (prepare)
hece,common word (syllable)
henüz,common word (yet)
her ikisi de,common word (both)
her zaman,common word (always)
her,common word (each)
her,common word (every)
herhangi bir,common word (any)
heyecanlandırmak,common word (excite)
hiç,common word (ever)
hiçbir şey,common word (nothing)
hikaye,common word (story)
hissetmek,common word (feel)
hız,common word (speed)
hızlı,common word (fast)
hızlı,common word (quick)
hizmet,common word (serve)
hücre,common word (cell)
hukuk,common word (law)
i,common word (noun)
icat,common word (invent)
içeren,common word (contain)
için,common word (for)
içinde,common word (in)
içki,common word (drink)
idare,common word (govern)
iddia,common word (claim)
ifade,common word (phrase)
iki,common word (two)
ikinci,common word (second)
ile,common word (through)
ile,common word (with)
ileri,common word (forward)
ilk,common word (first)
inanıyorum,common word (believe)
ince,common word (fine)
ince,common word (thin)
inch,common word (inch)
incir,common word (fig)
inek,common word (cow)
inşa etmek,common word (build)
insan,common word (human)
insanlar,common word (people)
iş,common word (job)
iş,common word (work)
işareti,common word (mark)
işareti,common word (sign)
ısı,common word (heat)
ışık,common word (light)
işletmek,common word (operate)
istasyon,common word (station)
istiyorum,common word (want)
it,common word (push)
iyi,common word (good)
iyi,common word (well)
iyilik,common word (favor)
iz,common word (track)
izin,common word (allow)
izle,common word (watch)
izleyin,common word (follow)
kabuk,common word (shell)
kadar,common word (far)
kadar,common word (until)
kadın,common word (woman)
kadın,common word (women)
kafa,common word (head)
kâğıt,common word (paper)
kahverengi,common word (brown)
kalabalık,common word (crowd)
kalın,common word (thick)
kalmak,common word (stay)
kalp,common word (heart)
kamp,common word (camp)
kamyon,common word (truck)
kan,common word (blood)
kanat,common word (wing)
kanıtlamak,common word (prove)
kapak,common word (cover)
kapalı,common word (off)
kapı,common word (door)
kaptan,common word (captain)
kar,common word (snow)
karakter,common word (character)
karanlık,common word (dark)
karar vermek,common word (decide)
kardeş,common word (brother)
kardeş,common word (sister)
kare,common word (square)
karısı,common word (wife)
karıştırmak,common word (mix)
karşı,common word (against)
karşı,common word (to)
karşılamak,common word (meet)
karşılaştırma,common word (compare)
karşısında,common word (opposite)
kart,common word (card)
kasaba,common word (town)
katılıyorum,common word (agree)
katılmak,common word (join)
kavga,common word (fight)
kaya,common word (rock)
kaybetti,common word (lost)
kaydetmek,common word (save)
kayıt,common word (record)
kayma,common word (slip)
keçe,common word (felt)
kedi,common word (cat)
kelime,common word (word)
kemik,common word (bone)
kenar,common word (edge)
kendi,common word (own)
kesim,common word (cut)
kesir,common word (fraction)
keskin,common word (sharp)
kılavuz,common word (guide)
kiloluk,common word (pound)
kilometre,common word (mile)
kim,common word (who)
kimin,common word (whose)
kırdı,common word (broke)
kırışık,common word (crease)
kırmızı,common word (red)
kırpma,common word (crop)
kış,common word (winter)
kısa,common word (short)
kişi,common word (person)
kıta,common word (continent)
kitap,common word (book)
kitle,common word (mass)
kıyı,common word (shore)
kız,common word (girl)
kök,common word (root)
koku,common word (smell)
kol,common word (arm)
kolaylığı,common word (ease)
köle,common word (slave)
koloni,common word (colony)
koltuk,common word (seat)
komple,common word (complete)
komşu,common word (neighbor)
kontrol,common word (check)
kontrolü,common word (control)
konu,common word (subject)
konuşma,common word (speech)
konuşmak,common word (speak)
konuştu,common word (spoke)
köpek,common word (dog)
kopya,common word (copy)
korku,common word (fear)
korkuyor,common word (afraid)
korumak,common word (protect)
köşe,common word (corner)
koştu,common word (ran)
kötü,common word (bad)
kötü,common word (poor)
köy,common word (village)
koymak,common word (lay)
koymak,common word (put)
kral,common word (king)
kravat,common word (tie)
kuart,common word (quart)
küçücük,common word (tiny)
küçük,common word (little)
küçük,common word (small)
kulak,common word (ear)
Kullanım,common word (use)
kum,common word (sand)
kural,common word (rule)
kurşun,common word (lead)
kuru,common word (dry)
kurulu,common word (board)
kuş,common word (bird)
kutu,common word (box)
kuvvet,common word (force)
kuyruk,common word (tail)
kuzey,common word (north)
lastik,common word (tire)
let,common word (let)
levha,common word (sheet)
liman,common word (port)
listesi,common word (list)
log,common word (log)
lütfen,common word (please)
maç,common word (match)
madde,common word (matter)
madde,common word (substance)
mağaza,common word (store)
makine,common word (machine)
maliyet,common word (cost)
materyal,common word (material)
mavi,common word (blue)
may,common word (may)
mayın,common word (mine)
mektup,common word (letter)
melodi,common word (melody)
memnun,common word (glad)
merkezi,common word (center)
meşgul,common word (busy)
metal,common word (metal)
mevcut,common word (present)
meydana,common word (occur)
meyve,common word (fruit)
mıknatıs,common word (magnet)
milyon,common word (million)
mısır,common word (corn)
molası,common word (break)
molekülü,common word (molecule)
motor,common word (engine)
muhtemel,common word (probable)
mülkiyet,common word (property)
mümkün,common word (possible)
mutlu,common word (happy)
müzik,common word (music)
nasıl,common word (how)
nazik,common word (gentle)
ne,common word (nor)
ne,common word (what)
neden,common word (cause)
neden,common word (reason)
neden,common word (why)
nehir,common word (river)
nerede,common word (where)
nesne,common word (object)
nihai,common word (final)
nokta,common word (point)
nokta,common word (spot)
notu,common word (note)
numarası,common word (number)
o zaman,common word (then)
o,common word (it)
oda,common word (room)
ödeme,common word (pay)
ofis,common word (office)
öfke,common word (anger)
öğlen,common word (noon)
oğlu,common word (son)
öğrenci,common word (student)
öğrenmek,common word (learn)
öğretmek,common word (teach)
oh,common word (oh)
oksijen,common word (oxygen)
okul,common word (school)
okumak,common word (read)
okyanus,common word (ocean)
olabilir,common word (could)
olabilir,common word (might)
olacak,common word (will)
olağan,common word (usual)
olarak,common word (as)
olay,common word (event)
ölçek,common word (scale)
ölçmek,common word (measure)
oldu,common word (been)
oldu,common word (was)
olduğunu,common word (is)
oldukça,common word (quite)
öldürmek,common word (kill)
olmak,common word (be)
olmaz,common word (won’t)
ölmek,common word (die)
olsa,common word (though)
olsun,common word (get)
olsun,common word (whether)
ölü,common word (dead)
ölüm,common word (death)
olur,common word (happen)
oluşturmak,common word (create)
omuz,common word (shoulder)
ön,common word (front)
on,common word (ten)
önce,common word (ago)
önce,common word (before)
ondalık,common word (decimal)
önermek,common word (suggest)
onlar,common word (they)
onları,common word (them)
onların,common word (their)
onu,common word (her)
onu,common word (him)
onun,common word (his)
orada,common word (there)
ördek,common word (duck)
Organ,common word (organ)
orijinal,common word (original)
orman,common word (forest)
örnek,common word (example)
orta,common word (middle)
ortak,common word (common)
oturmak,common word (sit)
ovmak,common word (rub)
oynamak,common word (play)
oyunu,common word (game)
öz,common word (self)
özel,common word (special)
özellikle,common word (especially)
özellikle,common word (particular)
özledim,common word (miss)
pamuk,common word (cotton)
para,common word (money)
paragraf,common word (paragraph)
parça,common word (piece)
parlak,common word (bright)
parlaklık,common word (shine)
parmak,common word (finger)
parti,common word (party)
payı,common word (share)
pazar,common word (market)
penceresi,common word (window)
planı,common word (plan)
poz,common word (pose)
pozisyon,common word (position)
puan,common word (score)
radyo,common word (radio)
rakam,common word (figure)
rakam,common word (numeral)
renk,common word (color)
resim,common word (picture)
rulo,common word (roll)
run,common word (run)
rüya,common word (dream)
rüzgar,common word (wind)
saat,common word (clock)
saat,common word (hour)
sabah,common word (morning)
saç,common word (hair)
sadece,common word (just)
sadece,common word (only)
sağ,common word (right)
sağlamak,common word (provide)
sahil,common word (coast)
sanat,common word (art)
sanayi,common word (industry)
sandalye,common word (chair)
sanırım,common word (guess)
şans,common word (chance)
şapka,common word (hat)
sarı,common word (yellow)
