label,why
comme,common word (as)
je,common word (I)
son,common word (his)
que,common word (that)
il,common word (he)
était,common word (was)
pour,common word (for)
sur,common word (on)
sont,common word (are)
avec,common word (with)
ils,common word (they)
être,common word (be)
à,common word (at)
un,common word (one)
avoir,common word (have)
ce,common word (this)
à partir de,common word (from)
par,common word (by)
chaud,common word (hot)
mot,common word (word)
mais,common word (but)
que,common word (what)
certains,common word (some)
est,common word (is)
il,common word (it)
vous,common word (you)
ou,common word (or)
eu,common word (had)
la,common word (the)
de,common word (of)
à,common word (to)
et,common word (and)
un,common word (a)
dans,common word (in)
nous,common word (we)
boîte,common word (can)
dehors,common word (out)
autre,common word (other)
étaient,common word (were)
qui,common word (which)
faire,common word (do)
leur,common word (their)
temps,common word (time)
si,common word (if)
volonté,common word (will)
comment,common word (how)
dit,common word (said)
un,common word (an)
chaque,common word (each)
dire,common word (tell)
ne,common word (does)
ensemble,common word (set)
trois,common word (three)
vouloir,common word (want)
air,common word (air)
bien,common word (well)
aussi,common word (also)
jouer,common word (play)
petit,common word (small)
fin,common word (end)
mettre,common word (put)
maison,common word (home)
lire,common word (read)
main,common word (hand)
port,common word (port)
grand,common word (large)
épeler,common word (spell)
ajouter,common word (add)
même,common word (even)
terre,common word (land)
ici,common word (here)
il faut,common word (must)
grand,common word (big)
haut,common word (high)
tel,common word (such)
suivre,common word (follow)
acte,common word (act)
pourquoi,common word (why)
interroger,common word (ask)
hommes,common word (men)
changement,common word (change)
est allé,common word (went)
lumière,common word (light)
genre,common word (kind)
de,common word (off)
besoin,common word (need)
maison,common word (house)
image,common word (picture)
essayer,common word (try)
nous,common word (us)
encore,common word (again)
animal,common word (animal)
point,common word (point)
mère,common word (mother)
monde,common word (world)
près de,common word (near)
construire,common word (build)
soi,common word (self)
terre,common word (earth)
père,common word (father)
tout,common word (any)
nouveau,common word (new)
travail,common word (work)
partie,common word (part)
prendre,common word (take)
obtenir,common word (get)
lieu,common word (place)
fabriqué,common word (made)
vivre,common word (live)
où,common word (where)
après,common word (after)
arrière,common word (back)
peu,common word (little)
seulement,common word (only)
tour,common word (round)
homme,common word (man)
année,common word (year)
est venu,common word (came)
montrer,common word (show)
tous,common word (every)
bon,common word (good)
moi,common word (me)
donner,common word (give)
notre,common word (our)
sous,common word (under)
nom,common word (name)
très,common word (very)
par,common word (through)
juste,common word (just)
forme,common word (form)
phrase,common word (sentence)
grand,common word (great)
penser,common word (think)
dire,common word (say)
aider,common word (help)
faible,common word (low)
ligne,common word (line)
différer,common word (differ)
tour,common word (turn)
la cause,common word (cause)
beaucoup,common word (much)
signifier,common word (mean)
avant,common word (before)
déménagement,common word (move)
droit,common word (right)
garçon,common word (boy)
vieux,common word (old)
trop,common word (too)
même,common word (same)
elle,common word (she)
tous,common word (all)
là,common word (there)
quand,common word (when)
jusqu’à,common word (up)
utiliser,common word (use)
votre,common word (your)
manière,common word (way)
sur,common word (about)
beaucoup,common word (many)
puis,common word (then)
les,common word (them)
écrire,common word (write)
voudrais,common word (would)
comme,common word (like)
si,common word (so)
ces,common word (these)
son,common word (her)
long,common word (long)
faire,common word (make)
chose,common word (thing)
voir,common word (see)
lui,common word (him)
deux,common word (two)
a,common word (has)
regarder,common word (look)
plus,common word (more)
jour,common word (day)
pourrait,common word (could)
aller,common word (go)
venir,common word (come)
fait,common word (did)
nombre,common word (number)
son,common word (sound)
aucun,common word (no)
plus,common word (most)
personnes,common word (people)
