label,translation
Liga Uruguaya de Basketball,Liga Uruguaya de Basketball
Liga Uruguaya de Básquetbol,Liga Uruguaya de Básquetbol
Liga Uruguaya de Basquetbol,Liga Uruguaya de Basquetbol
Angel wings,Engelsflügel
Texas Chainsaw Massacre (franchise),Texas Chainsaw Massacre (Franchise)
Perkins School for the Blind,Perkins-Schule für Blinde
Perkins School for Blind,Perkins Schule für Blinde
Perkins Institution for the Blind,Perkins Anstalt für Blinde
1984–85 in English football,Fußball 1984/85
1984-85 in English football,Fußball 1984-85 im englisch Fußball
computational biology,Computerbiologie
Democratic Party of Vietnam,Demokratisch Partei Vietnam
1997 UEFA Super Cup,UEFA-Superpokal 1997
Periampullary cancer,Periampullärer Krebs
volleyball at the 2012 Summer Olympics – women's tournament,Volleyball/Olympisch Sommerspiele 2012/Frauen-Turnier
volleyball at the 2012 Summer Olympics - women's tournament,Volleyball/Olympisch Sommerspiele 2012/Frauen-Turnier
The Far Side of the World,Der weit Seite der Welt
WuFeng University,Universität WuFeng
Molly Moon's Incredible Book of Hypnotism,Molly Moons unglaublich Buch der Hypnose
Lancia ECV,Lancia ECV
poisoning by drugs,Vergiftung durch Droge
poisoning by medicaments,Vergiftung durch Medikament
drug poisoning,Drogenvergiftung
medicament poisoning,Medikamentenvergiftung
rare intoxication due to medical products,seltene Vergiftung durch Medizinprodukte
Taiwan under Qing Dynasty rule,Taiwan unter der Herrschaft der Qing-Dynastie
Mac transition to Intel processors,Mac-Umstellung auf Intel-Prozessoren
Apple's transition to Intel processors,Apples Umstellung auf Intel-Prozessoren
Leopold area,Leopoldgebiet
SportsNet New York,Der gut SportsNet Berlin
nasal decongestant,nasale abschwellend Mittel
Changwon LG Sakers,Changwon LG Sakers
May 16 coup,Putsch am 16. Mai
Vatican Collection of Modern Religious Art,Vatikanische Sammlung modern religiös Kunst
Mrs de Winter,Frau de Winter
health law,Gesundheitsrecht
The Garden of the Finzi-Continis,Der Garten der Finzi-Continis
LASER Airlines,LASER Airline
Línea Aérea de Servicio Ejecutivo Regional,Línea Aérea de Servicio Ejecutivo Regional
2008 Summer Olympics torch relay,Olympisch Sommerspiele 2008 Fackellauf
Conversations in Sicily,Gespräch in Sizilien
Tigres de Aragua,Tigres de Aragua
multiple endocrine neoplasia type 2A,multiple endokrine Neoplasie Typ 2A
Sipple syndrome,Sipple-Syndrom
multiple endocrine neoplasia II,multiple endokrine Neoplasie II
MEA Type II,MEA Typ II
MEA Type 2a,MEA Typ 2a
Pheochromocytoma and Amyloid-Producing Medullary Thyroid Carcinoma,Phäochromozytom und Amyloid-produzierendes medulläres Schilddrüsenkarzinom
Pheochromocytoma and amyloid producing medullary thyroid carcinoma,Phäochromozytom und amyloid produzierend medulläres Schilddrüsenkarzinom
Multiple Endocrine Adenomatosis Type II,Multiple endokrine Adenomatose Typ II
Multiple Endocrine Neoplasia Type 2a,Multiple endokrine Neoplasie Typ 2a
Multiple Endocrine Adenomatosis Type 2a,Multiple endokrine Adenomatose Typ 2a
MEN-2A syndrome,MEN-2A-Syndrom
Multiple Endocrine Neoplasia  Type II,Multiple endokrine Neoplasie Typ II
Multiple Endocrine Neoplasia Type II,Multiple endokrine Neoplasie Typ II
MEN Type II,MEN Typ II
MEN Type 2a,MEN Typ 2a
Multiple Endocrine Adenomatosis  Type II,Multiple endokrine Adenomatose Typ II
Essence of Decision,Wesen der Entscheidung
Essence of decision: Explaining the Cuban missile crisis,Kernstück der Entscheidung: Erklärung der Kuba-Raketenkrise
Deterministic system,Deterministisches System
Deterministic model,Deterministisches Modell
Supreme Prosecutors' Office of the Republic of Korea,Oberst Staatsanwaltschaft der Republik Korea
먼데이 키즈,먼데이 키즈
The Gallery of Maps,Der Galerie der Karte
Vatican Gallery of Maps,Vatikanische Galerie der Karte
comparative mythology,vergleichend Mythologie
Boeing VC-25,Boeing VC-25
DB Tower,DB Turm
Index of philosophy,Index der Philosophie
The sweet city,Der süß Stadt
National Taiwan University of Science and Technology,Nationale Taiwan Universität für Wissenschaft und Technologie
dmedia T-REX,dmedia T-REX
AKB48 Team TP,AKB48 Team TP
Taiwan independence movement,** Bewegung
STAR Chinese Movies,STAR Chinesisch Film
Friday  or  The Other Island,Freitag oder Der ander Insel
Friday; or  the Other Island,Freitag; oder der ander Insel
28 May 1926 coup d'état,28. Mai 1926 Staatsstreich
Revolução de 28 de Maio de 1926,Revolução de 28 de Maio de 1926
Golpe de 28 de Maio de 1926,Golpe de 28 de Maio de 1926
Movimento do 28 de Maio,Movimento do 28 de Maio
Party of France,Partei Frankreich
University of Marrakesh,Universität von Marrakesch
Regula pastoralis,Regula pastoralis
Cura pastoralis,Cura pastoralis
2010 UEFA Super Cup,UEFA-Superpokal 2010
The Shadow of the Sun,Der Schatten der Sonnen
2011 UEFA Super Cup,UEFA-Superpokal 2011
The Good Soldier: A Tale of Passion,Der gut Soldat: Eine Geschichte aus Leidenschaft
Pan-European nationalism,Paneuropäischer Nationalismus
University of Blida,Universität von Blida
Unión Cívica Radical del Pueblo,Unión Cívica Radical del Pueblo
Macau University of Science and Technology,Macau Universität für Wissenschaft und Technologie
water polo at the 2012 Summer Olympics – men's tournament,Olympisch Sommerspiele 2012/Teilnehmer
water polo at the 2012 Summer Olympics - men's tournament,Wasserball/Olympisch Sommerspiele 2012/Männer-Turnier
CP Mérida,CP Mérida
CP Merida,CP Merida
Asian values,Asiatisch Wert
Toho Gakuen School of Music,Musikschule Toho Gakuen
human–robot interaction,Mensch-Roboter-Interaktion
Under the Sun of Satan,Unter der Sonnen Satans
The Colosseum at Caesars Palace,Der Kolosseum im Caesars Palace
Cardenales de Lara,Cardenales de Lara
Venados de Mazatlán,Venados de Mazatlán
Venados de Mazatlan,Venados de Mazatlan
Gigantes del Cibao,Gigantes del Cibao
1964 Brazilian presidential election,Präsidentschaftswahl in Brasilien 1964
Brazilian presidential election  1964,Präsidentschaftswahl in Brasilien 1964
FM Towns Marty,FM Stadt Marty
Fujitsu FM Towns Marty,Fujitsu FM Towns Marty
primary polydipsia,primäre Polydipsie
psychogenic polydipsia,psychogen Polydipsie
polydipsia  psychogenic,Polydipsie psychogen
Premio Lo Nuestro a la Música Latina,Premio Lo Nuestro a la Música Latina
2010 FIFA World Cup qualification – AFC Fourth Round,FIFA Fussball-Weltmeisterschaft 2010 Qualifikation – AFC Vierter Rund
2010 FIFA World Cup qualification - AFC Fourth Round,FIFA Fussball-Weltmeisterschaft 2010 Qualifikation - AFC Vierter Rund
The Seven Sins of Memory,Der sieben Sünde der Erinnerung
A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful,Eine philosophisch Untersuchung über der Ursprung mein Idee der Erhabenen und Schöne
UCI Cyclo-cross World Championships – Men's elite race,UCI Cyclocross Weltmeisterschaften – Elite Rennen der Mann
AL Central,AL Zentrale
AL Central Division,AL Zentrale Abteilung
AAA Reina de Reinas Championship,AAA Reina de Reinas Meisterschaft
Gump and Co.,Gump und Co.
Cañada de Gómez,Cañada de Gómez
For Love of the Game,Aus Lieben zum Spiel
Life and Fate,Leben und Schicksal
2007 Noto earthquake,Erdbeben von Noto 2007
Ministry of Justice Investigation Bureau,Ministerium für Justiz Ermittlungsbüro
Niigata Minamata disease,Niigata-Minamata-Krankheit
swimming at the 2008 Summer Olympics – men's 200 metre freestyle,Schwimmen bei der Olympische Sommerspielen 2008/200 Meter Freistil der Mann
swimming at the 2008 Summer Olympics - men's 200 metre freestyle,Olympisch Sommerspiele 2008/Schwimmen - 200 Meter Freistil
basketball at the 2000 Summer Olympics – men's tournament,Olympisch Sommerspiele 2000/Teilnehmer
basketball at the 2000 Summer Olympics - men's tournament,Basketball/Olympisch Sommerspiele 2000/Herrenturnier
volleyball at the 1976 Summer Olympics – men's tournament,Olympisch Sommerspiele 1976/Teilnehmer
volleyball at the 1976 Summer Olympics - men's tournament,Volleyball/Olympisch Sommerspiele 1976/Herrenturnier
University of Aizu,Universität von Aizu
Saint Andrew's University,Saint Andrew Universität
The Book of Healing,Der Buch der Heilung
Kitāb al-Šifā,Kitāb al-Sifā
Kitab al-shifa',Kitab al-shifa
Kitab al-Shifa,Kitab al-Shifa
coin debasement,Münzentwertung
methods of coin debasement,Methode der Münzentwertung
AgustaWestland AW149,AgustaWestland mit AW149
Leonardo AW149,Leonardo AW149
New Energy and Industrial Technology Development Organization,Neues Energie- und Industrietechnologie-Entwicklungsorganisation
museum practice,Museumspraxis
Rubáiyát of Omar Khayyám,Rubáiyát von Omar Khayyám
Rubaiyat of Omar Khayyam,Rubaiyat von Omar Khayyam
beach volleyball at the 2012 Summer Olympics – women's tournament,Beachvolleyball/Olympisch Sommerspiele 2012/Frauen-Turnier
beach volleyball at the 2012 Summer Olympics - women's tournament,Beachvolleyball/Olympisch Sommerspiele 2012/Frauen-Turnier
House of MunïsOö,Haus von MunïsOö
swimming at the 2000 Summer Olympics – men's 4 × 100 metre freestyle relay,Olympisch Sommerspiele 2000/Schwimmen/100-Meter-Freistil-Staffel der Mann ×
swimming at the 2000 Summer Olympics - men's 4 x 100 metre freestyle relay,Olympisch Sommerspiele 2000/Schwimmen - 4 x 100 Meter Freistilstaffel der Mann
production theory,Produktionstheorie
production economics,Produktionsökonomie
National University of Modern Languages,Nationale Universität für Moderne Sprache
National University of Modern Languages (NUML),Nationale Universität für Moderne Sprache (NUML)
Villarreal CF "B",Villarreal CF "B"
Villarreal Club de Fútbol "B",Villarreal Club de Fútbol "B"
Summer of Night,Sommer der Nacht
Sports day,Tag der Sport
field day,Feldtag
Obihiro University of Agriculture and Veterinary Medicine,Obihiro Universität für Landwirtschaft und Veterinärmedizin
The Shadow of the Torturer,Der Schatten der Folterers
visual literacy,visuelle Kompetenz
web engineering,Webentwicklung
Roman Catholicism in Japan,Römisch-katholische Kirche in Japan
Latin Catholicism in Japan,Lateinischer Katholizismus in Japan
Catholicism in Japan,Katholizismus in Japan
Western Catholicism in Japan,Westlicher Katholizismus in Japan
Lectures on the Philosophy of History,Vorlesungen zur Philosophie der Geschichte
FIVB World Grand Champions Cup,FIVB World Grand Champions Cup
Serie A1 (water polo),Serie A1 (Wasserball)
Life of Apollonius of Tyana,Leben der Apollonius von Tyana
Artis magnae  sive de regulis algebraicis,Artis magnae sive de regulis algebraicis
University of Guam,Universität von Guam
Territorial College of Guam,Territoriales Kollegium von Guam
University of Guam，缩写UOG,Universität von Guam 缩写UOG
Sculpting in Time,Bildhauerei in der Zeit
security studies,Sicherheitsstudien
Principles of Geology,Grundlage der Geologie
capital punishment in Greece,Todesstrafe in Griechenland
1977–78 in English football,Englischer Fußball 1977/78
1977-78 in English football,Fußball 1977-78 im englisch Fußball
1987–88 in English football,Fußball 1987/88
1987-88 in English football,Fußball 1987-88 im englisch Fußball
Jo's Boys,Jo Jungs
history of statistics,Geschichte der Statistik
Ford CVPI,Ford CVPI
Open Learning Institute of Hong Kong,Freies Lernen Institut von Hong Kong
Open University of Hong Kong,Offene Universität von Hongkong
The 100 most prominent Serbs,Der 100 prominent Serbe
Boeing Vertol YUH-61,Boeing Vertol YUH-61
Boeing Vertol YUH-61,Boeing Vertol YUH-61
Boeing Vertol UH-61,Boeing Vertol UH-61
Universidad de San Sebastián,Universidad de San Sebastián
Nokia 3110 classic,Nokia 3110 klassisch
